instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3Pct,atr8Pct,atr13Pct,atr21Pct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middlePositionPct,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maPositionPct,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationWeather,deviationRiskNote,score_breakout,score_trendFollowing,score_meanReversion,score_wait,score_grid
LDO-USDT,4H,ok,half_weight,0.7,7978,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2022-09-02 08:00,2026-06-01 16:00,8211,2026-06-01 16:00,0.33,黄偏绿,高抛均值回归,31.02,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,2.1725,11.57,1.557,89.32,0.557,振幅已超ATR,46.71,53.29,40.28,2.599,2.2253,2.1733,2.192,1.1857,1.0152,中值上侧偏离,2.5395,1.14,58.1252,54.84,233MA下侧极端,-9.9696,-5.0972,52.7864,49.73,弱趋势上行,1.8192,up,3,量能正常,1.0848,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,77,59.1,31.02,37.22,54
CRV-USDT,4H,ok,half_weight,0.7,7766,1,0.7,1,0,true,legacy_page_limit,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.21,黄偏红,防守等待,74.12,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.8477,7.66,0.4028,3.01,-0.5972,余动能不足,55.6,44.4,35.26,1.0681,1.5688,1.814,2.02,0.5288,0.7766,中值贴近中轴,0.2567,0.1385,49.589,7.75,233MA下侧极端,-9.5257,-5.6931,45.1021,48.76,趋势不明,-0.6694,mixed,2,缩量,0.5374,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,8,,0,74.12,74
ENS-USDT,4H,ok,half_weight,0.7,7766,1,0.7,1,0,true,legacy_page_limit,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,6,黄,防守等待,74.12,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期弱势深水区,等待更清楚的波动或位置共振,波动压缩,2.1665,26.05,0.7182,34.12,-0.2818,余动能不足,57.13,42.87,34.72,1.6615,2.0672,2.1581,2.2035,0.754,0.9381,中值上侧偏离,1.1547,0.529,53.6367,54.33,233MA下侧极端,-5.6272,-2.7633,56.3981,49.84,趋势不明,0.4785,mixed,2,放量,27.5975,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,20,,45.59,74.12,74
PENDLE-USDT,4H,ok,full_weight,1,3433,1,1,1,0,false,,233,OKX,2024-09-27 04:00,2026-05-31 00:00,3666,2026-05-31 00:00,1.37,绿,趋势策略天气,78,常态波动 / 接近正常动能 / 短期下侧偏离 / 大周期弱势深水区,趋势天气较友好，等方向和量能确认,常态波动,3.7453,69.08,0.994,60.62,-0.006,接近正常动能,58.49,41.51,37.87,3.0902,3.3999,3.7,3.9846,0.7755,0.8533,中值下侧偏离,-8.4031,-2.4951,24.5478,56.48,233MA下侧极端,-19.8259,-6.7255,44.7909,46.41,强趋势下行,-10.441,down,4,放量,2.3159,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,10,,53.33,45.64,40
JUP-USDT,4H,ok,full_weight,1,4871,1,1,1,0,false,,233,OKX,2024-01-31 12:00,2026-05-31 00:00,5104,2026-05-31 00:00,0.19,黄,防守等待,74.12,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期弱势深水区,等待更清楚的波动或位置共振,波动压缩,2.7044,22.96,0.5787,17.06,-0.4213,余动能不足,53.32,46.68,35.07,1.8201,2.4177,2.6721,2.8564,0.6372,0.8464,中值上侧偏离,1.6349,0.5987,45.2699,53.35,233MA下侧极端,-6.4843,-2.5806,49.0107,46.87,趋势不明,0.8228,mixed,2,缩量,0.1871,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,8,,42.06,74.12,74
PYTH-USDT,4H,ok,full_weight,1,5303,1,1,1,0,false,,233,OKX,2023-11-20 12:00,2026-05-31 00:00,5536,2026-05-31 00:00,0.04,黄偏绿,趋势策略天气,66.42,低波动启动 / 接近正常动能 / 短期上侧偏离 / 大周期弱势深水区,趋势天气较友好，等方向和量能确认,低波动启动,3.0547,37.97,1.0881,68.82,0.0881,接近正常动能,48.12,51.88,39.42,2.7362,2.9984,3.0535,3.0504,0.897,0.9829,中值上侧偏离,3.5247,1.092,61.9851,54.63,233MA下侧极端,-12.2583,-4.4809,45.2088,49.66,强趋势上行,3.0702,up,4,量能正常,1.2508,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,46,,38.67,37.03,40
TIA-USDT,4H,ok,full_weight,1,5422,1,1,1,0,false,,233,OKX,2023-10-31 16:00,2026-05-31 00:00,5655,2026-05-31 00:00,0.41,黄偏绿,趋势策略天气,66.81,高波动冷却 / 余动能不足 / 短期下侧偏离 / 大周期偏强,趋势天气较友好，等方向和量能确认,高波动冷却,3.6922,53.62,0.4819,7.88,-0.5181,余动能不足,77.17,22.83,34.22,2.4203,3.2626,3.6457,3.8744,0.6247,0.8421,中值下侧偏离,-6.2723,-1.7988,28.238,53.58,233MA上侧偏离,1.4395,0.3814,69.1083,62.48,强趋势下行,-4.4678,down,4,缩量,0.5991,短期下侧偏离 + 大周期偏强,优势不够大，不能单独触发策略；不是天然做空区域,0,,56.89,42.98,50
ONDO-USDT,4H,ok,full_weight,1,3792,1,1,1,0,false,,233,OKX,2024-07-29 08:00,2026-05-31 00:00,4025,2026-05-31 00:00,0.38,黄,防守等待,38.44,高波动扩张 / 动能已超ATR / 短期贴近中轴 / 大周期偏强,等待更清楚的波动或位置共振,高波动扩张,3.8856,75.83,1.8344,94.53,0.8344,动能已超ATR,58.63,41.37,42.84,5.1411,3.9723,3.879,3.9762,1.293,0.999,中值贴近中轴,1.0735,0.2738,41.2754,8.11,233MA上侧偏离,8.1817,1.9495,68.7342,50.28,趋势不明,-1.0897,mixed,2,放量,3.8064,短期贴近中轴 + 大周期偏强,贴近中轴时继续拉伸概率通常更高；不是天然做空区域,38,,0,38.44,22
FET-USDT,4H,ok,full_weight,1,5280,1,1,1,0,false,,233,OKX,2023-11-24 08:00,2026-05-31 00:00,5513,2026-05-31 00:00,0.28,绿,趋势策略天气,80,高波动冷却 / 接近正常动能 / 短期上侧偏离 / 大周期强势高位,趋势天气较友好，等方向和量能确认,高波动冷却,4.7729,82.35,0.8324,44.83,-0.1676,接近正常动能,75.6,24.4,39.62,4.7242,5.0121,4.8192,4.4454,1.0627,1.1275,中值上侧偏离,11.6577,2.1859,73.7212,51.79,233MA上侧极端,30.1179,4.8461,85.083,41.23,强趋势上行,17.4408,up,4,量能正常,0.8512,短期上侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,16,,42.44,15.4,48
PEPE-USDT,4H,ok,full_weight,1,6522,1,1,1,0,false,,233,OKX,2023-05-01 08:00,2026-05-31 00:00,6755,2026-05-31 00:00,0,黄偏红,防守等待,74.12,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.907,1.27,0.7841,42.46,-0.2159,余动能不足,58.43,41.57,35.27,1.4111,1.7302,1.8877,1.9935,0.7079,0.8679,中值贴近中轴,0.51,0.269,46.0388,10.98,233MA下侧极端,-10.7243,-6.3695,42.9905,51.21,趋势不明,-0.2031,mixed,2,缩量,0.7458,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,8,,0,74.12,74
SHIB-USDT,4H,ok,half_weight,0.7,7766,1,0.7,1,0,true,legacy_page_limit,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.4256,8.96,0.6888,32.7,-0.3112,余动能不足,58.19,41.81,33.44,1.0431,1.3273,1.4163,1.4643,0.7124,0.9064,中值上侧偏离,2.6126,1.7986,65.8928,54.02,233MA下侧极端,-8.2482,-6.3507,35.841,50.69,弱趋势上行,1.664,up,3,缩量,0.2785,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,8,,44.47,76.28,56
BONK-USDT,4H,ok,full_weight,1,5011,1,1,1,0,false,,233,OKX,2024-01-08 04:00,2026-05-31 00:00,5244,2026-05-31 00:00,0,黄偏红,防守等待,60.28,波动压缩 / 接近正常动能 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.2125,5,0.8637,50.13,-0.1363,接近正常动能,56.29,43.71,38.01,1.6631,2.0456,2.1963,2.282,0.7288,0.8964,中值下侧偏离,-2.1439,-1.0049,32.9692,56.63,233MA下侧极端,-13.019,-6.8657,41.0067,53.01,弱趋势混合,-2.1057,mixed,2,缩量,0.4174,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,20,,53.87,60.28,56
FLOKI-USDT,4H,ok,full_weight,1,7338,1,1,1,0,false,,233,OKX,2022-12-16 08:00,2026-05-31 00:00,7571,2026-05-31 00:00,0,绿,突破策略天气,84,低波动启动 / 动能已超ATR / 短期上侧偏离 / 大周期弱势深水区,不把短期下偏当买点，等待更强共振,低波动启动,2.1046,10.01,2.1659,96.1,1.1659,动能已超ATR,48.36,51.64,39.83,2.6418,2.169,2.1092,2.1,1.258,1.0328,中值上侧偏离,4.4622,2.1071,73.665,54.66,233MA下侧极端,-8.543,-4.6078,48.2577,51.65,强趋势上行,4.3627,up,3,放量,3.9342,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,84,,38.78,34.92,40
WIF-USDT,4H,ok,full_weight,1,4422,1,1,1,0,false,,233,OKX,2024-04-15 08:00,2026-05-31 00:00,4655,2026-05-31 00:00,0.19,黄偏红,防守等待,75.08,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.5736,9.08,0.4898,8.07,-0.5102,余动能不足,57.12,42.88,33.98,1.751,2.3845,2.5588,2.6124,0.6703,0.9128,中值上侧偏离,4.3171,1.6224,65.431,51.38,233MA下侧偏离,-2.499,-1.0048,63.399,63.91,弱趋势上行,1.7726,up,3,缩量,0.1621,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,8,,34.97,75.08,66
ORDI-USDT,4H,ok,full_weight,1,6407,1,1,1,0,false,,233,OKX,2023-05-20 12:00,2026-05-31 00:00,6640,2026-05-31 00:00,3.43,黄偏红,趋势策略天气,55.28,常态波动 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,常态波动,3.7489,48.72,0.6198,22.74,-0.3802,余动能不足,61.28,38.72,34.59,3.3674,3.5987,3.7352,3.7938,0.8876,0.9486,中值下侧偏离,-7.1786,-2.0569,23.7284,54.42,233MA下侧极端,-23.6612,-8.2437,37.8276,49.62,强趋势下行,-4.2136,down,3,缩量,0.5585,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,4,,37.91,54.37,40
SATS-USDT,4H,ok,full_weight,1,5136,1,1,1,0,false,,233,OKX,2023-12-18 08:00,2026-05-31 00:00,5369,2026-05-31 00:00,0,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.8036,19.26,0.4669,8.54,-0.5331,余动能不足,59.47,40.53,32.43,2.1653,2.6124,2.7855,2.8714,0.7541,0.9098,中值下侧偏离,-2.9819,-1.1049,50.2657,56.1,233MA下侧极端,-17.399,-7.5721,62.9879,50,弱趋势混合,-1.2068,mixed,2,缩量,0.4214,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,8,,51.96,76.28,56
NOT-USDT,4H,ok,full_weight,1,4235,1,1,1,0,false,,233,OKX,2024-05-16 12:00,2026-05-31 00:00,4468,2026-05-31 00:00,0,绿,网格震荡天气,84,低波动启动 / 接近正常动能 / 短期上侧偏离 / 大周期偏弱,震荡/网格天气较友好，仍需控制突破风险,低波动启动,2.7418,22.56,0.982,61.95,-0.018,接近正常动能,48.68,51.32,37.87,2.4501,2.5365,2.7134,2.9003,0.8448,0.8746,中值上侧偏离,1.8166,0.6628,73.2691,54.93,233MA下侧偏离,-5.7363,-2.2608,73.5914,61.94,趋势不明,0.5615,mixed,2,缩量,0.7325,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,16,,47.75,44.92,84
ENA-USDT,4H,ok,full_weight,1,1303,1,1,1,0,false,,233,OKX,2025-09-17 04:00,2026-05-31 00:00,1536,2026-05-31 00:00,0.09,黄,网格震荡天气,58,低波动启动 / 动能已超ATR / 短期贴近中轴 / 大周期弱势深水区,震荡/网格天气较友好，仍需控制突破风险,低波动启动,2.7539,30.24,1.3556,83.68,0.3556,动能已超ATR,44.19,55.81,40.13,2.3605,2.5384,2.7267,2.8932,0.8159,0.8774,中值贴近中轴,-0.3937,-0.1479,49.0473,4.27,233MA下侧极端,-15.5654,-6.8963,50.6316,51.35,趋势不明,-0.1391,mixed,2,放量,1.8154,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,38,,0,48.04,58
W-USDT,4H,ok,full_weight,1,4493,1,1,1,0,false,,233,OKX,2024-04-03 12:00,2026-05-31 00:00,4726,2026-05-31 00:00,0.01,黄偏红,防守等待,74.12,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.6272,12.87,0.6512,25.45,-0.3488,余动能不足,53.49,46.51,35.4,1.8748,2.3859,2.6016,2.7425,0.6836,0.87,中值贴近中轴,-0.0423,-0.0163,48.7992,8.99,233MA下侧极端,-10.459,-4.4916,55.3531,49.41,趋势不明,-0.525,mixed,2,缩量,0.4393,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,8,,0,74.12,74
STRK-USDT,4H,ok,full_weight,1,4751,1,1,1,0,false,,233,OKX,2024-02-20 12:00,2026-05-31 00:00,4984,2026-05-31 00:00,0.04,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.9534,33.12,0.4542,6.02,-0.5458,余动能不足,56.65,43.35,34.56,1.8454,2.5877,2.9129,3.1379,0.5881,0.8246,中值下侧偏离,-1.077,-0.3725,45.5903,55.2,233MA下侧极端,-11.221,-4.3243,63.2147,49.95,弱趋势混合,-1.6604,mixed,2,缩量,0.1671,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,8,,48.72,76.28,56
ZK-USDT,4H,ok,full_weight,1,4038,1,1,1,0,false,,233,OKX,2024-06-18 08:00,2026-05-31 00:00,4271,2026-05-31 00:00,0.01,黄偏红,防守等待,66.28,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,3.0171,31,0.7125,31.44,-0.2875,余动能不足,55.6,44.4,35.25,2.4865,2.9769,3.0204,2.9759,0.8355,1.0003,中值上侧偏离,3.9516,1.2757,58.9554,54.32,233MA下侧极端,-10.1322,-3.7836,51.7411,50.59,弱趋势混合,4.3827,mixed,2,缩量,0.7269,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,26,,37.55,66.28,56
ZRO-USDT,4H,ok,full_weight,1,4025,1,1,1,0,false,,233,OKX,2024-06-20 12:00,2026-05-31 00:00,4258,2026-05-31 00:00,1.15,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.7725,20.93,0.5323,12.07,-0.4677,余动能不足,57.16,42.84,35.57,2.1147,2.5645,2.7543,2.8261,0.7483,0.9074,中值下侧偏离,-2.4122,-0.8923,40.6452,54.07,233MA下侧极端,-17.2935,-7.5483,32.2701,51.16,弱趋势混合,-2.8017,mixed,2,缩量,0.7495,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,8,,44.65,76.28,56
GALA-USDT,4H,ok,half_weight,0.7,7766,1,0.7,1,0,true,legacy_page_limit,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0,黄,网格震荡天气,82,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,震荡/网格天气较友好，仍需控制突破风险,波动压缩,2.2451,16.17,0.5874,18.8,-0.4126,余动能不足,55.61,44.39,33,1.4738,2.0081,2.221,2.3453,0.6284,0.8562,中值贴近中轴,-0.1122,-0.0501,47.1132,9.44,233MA下侧极端,-8.8324,-4.325,51.7651,51.46,趋势不明,-0.6394,mixed,2,量能正常,1.0278,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,8,,0,73.16,82
SAND-USDT,4H,ok,half_weight,0.7,7766,1,0.7,1,0,true,legacy_page_limit,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.07,黄,网格震荡天气,56,低波动启动 / 接近正常动能 / 短期上侧偏离 / 大周期弱势深水区,震荡/网格天气较友好，仍需控制突破风险,低波动启动,1.8947,18.25,0.9419,58.45,-0.0581,接近正常动能,44.85,55.15,38.05,1.4816,1.7815,1.8844,1.9351,0.7656,0.9206,中值上侧偏离,2.4426,1.2724,61.0961,53.56,233MA下侧极端,-6.0345,-3.4271,52.7001,49.62,弱趋势混合,1.5465,mixed,2,缩量,0.4799,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,16,,42.82,48.28,56
MANA-USDT,4H,ok,half_weight,0.7,7766,1,0.7,1,0,true,legacy_page_limit,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.08,黄偏红,网格震荡天气,82,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.6888,10.67,0.6857,30.7,-0.3143,余动能不足,55.45,44.55,34.67,1.2614,1.6023,1.6811,1.7229,0.7322,0.93,中值贴近中轴,0.2192,0.1294,51.8498,9.72,233MA下侧极端,-6.9606,-4.4274,49.6021,50.71,趋势不明,-0.1705,mixed,2,量能正常,1.0279,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,8,,0,73.16,82
